2014 01 14::07:04:13:548,-6366.580941225144,
2014 01 14::07:04:14:548,6526.770613735008,
2014 01 14::07:04:19:803,-7236.232107294543,
2014 01 14::07:04:20:804,-7349.847547771765,
2014 01 14::07:04:21:805,-7496.484778932388,
2014 01 14::07:04:23:305,7672.678086302596,
2014 01 14::07:04:23:555,7731.95738612769,
2014 01 14::07:04:25:057,-8057.290192539431,
2014 01 14::07:04:28:560,8825.239694669819,
2014 01 14::07:04:29:811,8971.290694029103,
2014 01 14::07:04:32:062,9255.24818240197,
2014 01 14::07:04:33:314,-9423.754979799103,
